Agent policy,Adversary policy,Agent success rate,Adversary success rate,Difference of rates
maddpg,maddpg,0.9515484515484516,0.35514485514485516,0.5964035964035964
maddpg,ddpg,0.9484515484515484,0.31928071928071927,0.6291708291708291
ddpg,maddpg,0.4463536463536463,0.34045954045954047,0.10589410589410586
ddpg,ddpg,0.5252747252747253,0.35584415584415585,0.16943056943056944
